RacaID,lat,long,upedonid,rcasiteid,SOCstock5,SOCstock30,SOCstock100
F0412F06,44.91,-109.58,F0412F06X,F0412F06,150.595723763582,342.848834101605,361.326076618089
C0815R14,33.07,-109.57,RaCA11AZGA0141,C0815R14,4.70007473941024,30.3836381138013,37.7718347970632
C0801R08,32.85,-109.54,RaCA11AZCP016,C0801R08,1.02656049728857,3.12283639491874,8.56683059904014
C0805R09,35.4,-109.53,RaCA11AZGA0061,C0805R09,6.75018277353604,20.0899115321198,38.9885817424881
C0701R11,46.16,-109.52,C0701R11-1,C0701R11,10.3757409950961,39.9194097456771,39.9194097456771
C0806R12,35.76,-109.52,RaCA11AZMC0046,C0806R12,5.2979154770374,25.8597890855345,51.1131896775777
C0802R04,31.89,-109.51,RaCA11AZBS041,C0802R04,3.6070086510013,13.1979604419739,26.2439384238268
F0608R07,42.07,-109.49,2011WY037001,F0608R07,3.31469599478167,15.5221342641818,30.7497146217748
F0601R04,39.03,-109.49,2011UT019031,F0601R04,1.54999523943528,2.72760817240346,2.72760817240346
C0609P03,40.45,-109.48,2011UT047001,C0609P03,23.1255580521533,48.7878478717237,112.392155187275
C0802P03,38.51,-109.47,RaCA11UTKC0021,C0802P03,1.2240432151818,15.8458657172403,33.3257997764459
C0701P05,46.38,-109.42,C0701P05-1,C0701P05,9.53542560050639,34.2447257692182,34.2447257692182
C0607F01,37.69,-109.41,2011UT037026,C0607F01,12.5040557650411,35.1397199661141,53.5512064868768
C0601R12,38.98,-109.4,2011UT019016,C0601R12,1.59910229767324,9.85438537909963,14.1471325814414
F0601F02,39.34,-109.4,2011UT019001,F0601F02,2.31035329653112,5.45315337689892,5.45315337689892
C0608C04,42.18,-109.4,2011WY037016,C0608C04,4.70191194547574,14.3678113833623,21.5185964249618
F0806R02,32.45,-109.4,RaCA11AZBS126,F0806R02,2.23890107052829,14.5977053861982,29.3181962641329
C0806P09,34.52,-109.39,RaCA11NMJG0110,C0806P09,5.11835785593074,27.0545326619116,68.1122226705506
C0602W06,42.14,-109.39,2011WY037021,C0602W06,9.46869878311121,32.7792318261706,44.0005859913055
C0608C02,42.14,-109.39,2011WY037026,C0608C02,24.8862135715884,43.0868050583474,47.8614742210939
C0608R13,43.42,-109.36,2011WY013031,C0608R13,1.7994534497548,12.2018138899416,27.2472556711577
C0811R05,34.38,-109.35,RaCA11AZJG0100,C0811R05,5.6137496064387,6.73649952772644,6.73649952772644
F0602F97,43.43,-109.34,2011WY013021,F0602F97,20.4592828244673,70.0516090324555,83.2498642623235
C0602R01,37.89,-109.32,2011UT037011,C0602R01,13.4936209209667,51.0364428312182,137.673886243869
C0607C01,37.84,-109.31,2011UT037036,C0607C01,4.93407869334153,27.4439921761143,72.3510711357796
F0406F01,42.59,-109.3,F0406F01X,F0406F01,31.97832688488,69.8993534894788,106.219619330992
F0806R17,32.99,-109.3,RaCA11AZCP011,F0806R17,1.4282723414972,6.18328144253722,6.18328144253722
C0815W01,34.14,-109.29,RaCA11AZJG0095,C0815W01,23.9397854978561,73.9863740525253,380.178045025367
C0403C05,45.38,-109.26,C0403C05X,C0403C05,10.0604916023627,49.2940534350661,125.811861652566
C0803R07,34.13,-109.26,RaCA11AZMC0111,C0803R07,8.12148347029063,39.8809109372201,79.132982404884
C0809R01,32.09,-109.24,RaCA11AZKC156,C0809R01,1.28359911024468,6.2931877685719,16.6439999660035
C0812R06,32.24,-109.23,RaCA11AZKC151,C0812R06,4.48631811007309,30.1726461574111,70.7590854185204
C0806R55,32.94,-109.23,RaCA11AZKC006,C0806R55,2.86742032456108,15.8084991857675,33.2872632916153
C0601R09,38,-109.23,2011UT037016,C0601R09,4.14225797539174,21.8872886357399,32.3692398640104
F0608R05,40.96,-109.22,2011UT009011,F0608R05,4.74728539952185,21.4596868983225,41.8449690764094
C0814R10,36.93,-109.21,RaCA11NMSZ031,C0814R10,1.09915459029348,4.18868699106387,10.0156271258251
C0602F01,37.44,-109.21,nan,nan,nan,nan,nan
C0403R09,43.37,-109.21,C0403R09X,C0403R09,2.9098163299536,22.5937743608955,55.9379777907636
F0806F04,38.07,-109.21,RaCA11UTKC0016,F0806F04,2.31049502690094,17.5191858069417,47.8382029104333
C0411P03,45.39,-109.2,C0411P03X,C0411P03,10.5070738262009,41.1310996948988,70.4587788822544
C0805F05,35.69,-109.2,RaCA10AZDW0031,C0805F05,4.48109519979276,17.5181830772422,17.5181830772422
F0606R02,40.89,-109.18,2011UT009006,F0606R02,2.9769110845725,12.6802126116528,27.844010011858
C0406R04,43.44,-109.17,C0406R04X,C0406R04,7.41277143980952,32.8818239034857,56.3049699343598
C0811F03,38.02,-109.17,RaCA11UTKC0011,C0811F03,2.73430656927151,35.845915222528,72.474214462514
C0805P03,35.9,-109.17,RaCA11AZMC0041,C0805P03,11.0092597593557,58.4893798179459,136.426333540393
C0607C02,37.77,-109.16,2011UT037031,C0607C02,2.87108310610184,17.3431302700267,33.8090554179492
C0701P02,46.18,-109.15,C0701P02-1,C0701P02,7.69447206783234,37.1679900592678,37.1679900592678
C0411C02,46.19,-109.15,C0411C02X,C0411C02,15.7217460878193,67.2296360075429,150.221290431931
C0804R17,32.68,-109.15,RaCA11AZKC031,C0804R17,4.32682550327457,NA,NA
